formOccurrences	form	lemma	Gender	Number	form_niqqud	lemma_niqqud	lemmaCount
178	פודקאסט	פודקאסט	Masc	Sing	פּוֹדְקָאסְט	פּוֹדְקָאסְט	180
14	לימוד	לימוד	Masc	Sing	לִימּוּד	לִימּוּד	14
34	ברוכים	ברוך	Masc	Plur	בְּרוּכִים	בָּרוּךְ	34
1	מקיבוץ	מקיבוץ	Masc	Sing	מִקִּיבּוּץ	מִקִּיבּוּץ	1
10	צפון	צפון	Masc	Sing	צָּפוֹן	צָּפוֹן	10
4	נגב	נגב	Masc	Sing	נֶגֶב	נֶגֶב	4
190	שנים	שנה	Fem	Plur	שָׁנִים	שָׁנָה	504
1	משפחתי	משפחתי	Masc	Sing	מִשְׁפַּחְתִּי	מִשְׁפַּחְתִּי	1
1	ראשית	ראשית	Fem	Sing	רֵאשִׁית	רֵאשִׁית	1
4	קול	קול	Masc	Sing	קוֹל	קוֹל	12
138	פעם	פעם	Fem	Sing	פַּעַם	פַּעַם	203
29	תחושה	תחושה	Fem	Sing	תְּחוּשָׁה	תְּחוּשָׁה	43
72	מאזינים	מאזין	Masc	Plur	מַאֲזִינִים	מַאֲזִין	77
72	כלל	כלל	Masc	Sing	כְּלָל	כְּלָל	81
38	רעיון	רעיון	Masc	Sing	רַעְיוֹן	רַעְיוֹן	49
21	דרכים	דרך	Fem	Plur	דְּרָכִים	דֶּרֶךְ	215
8	שליטה	שליטה	Fem	Sing	שְׁלִיטָה	שְׁלִיטָה	8
32	ביטחון	ביטחון	Masc	Sing	בִּיטָּחוֹן	בִּיטָּחוֹן	32
76	שפה	שפה	Fem	Sing	שָׂפָה	שָׂפָה	106
10	אפליקציות	אפליקציה	Fem	Plur	אַפְּלִיקְצִיּוֹת	אַפְּלִיקַצְיָה	40
1	שיפור	שיפור	Masc	Sing	שִׁיפּוּר	שִׁיפּוּר	1
9	אוצר	אוצר	Masc	Sing	אוֹצָר	אוֹצָר	9
70	מילים	מילה	Fem	Plur	מִילִּים	מִילָּה	147
58	שיעורים	שיעור	Masc	Plur	שִׁיעוּרִים	שִׁיעוּר	74
40	מורה	מורה	Masc	Sing	מוֹרֶה	מוֹרֶה	86
10	סרטים	סרט	Masc	Plur	סְרָטִים	סֶּרֶט	15
18	סדרות	סדרה	Fem	Plur	סְדָרוֹת	סִּדְרָה	35
18	כלים	כלי	Masc	Plur	כֵּלִים	כְּלִי	40
322	משהו	משהו	Masc	Sing	מַשֶּׁהוּ	מַשֶּׁהוּ	322
1	תדירות	תדירות	Fem	Sing	תְּדִירוּת	תְּדִירוּת	1
5	צפייה	צפייה	Fem	Sing	צְּפִיָּיה	צְּפִיָּיה	5
52	פעמים	פעם	Fem	Plur	פְּעָמִים	פַּעַם	203
2	כתוביות	כתוביות	Fem	Plur	כְּתוּבִיּוֹת	כְּתוּבִיּוֹת	2
2	שחקנים	שחקן	Masc	Plur	שְַׂחָקָנִים	שְַׂחָקָן	4
8	סלנג	סלנג	Masc	Sing	סְלַנְג	סְלַנְג	8
322	יום	יום	Masc	Sing	יוֹם	יוֹם	402
67	מקרה	מקרה	Masc	Sing	מִקְרֶה	מִקְרֶה	95
107	שם	שם	Masc	Sing	שָׁם	שָׁם	165
6	תרגום	תרגום	Masc	Sing	תַּרְגּוּם	תַּרְגּוּם	6
84	חברים	חבר	Masc	Plur	חֲבֵרִים	חָבֵר	137
1	מזם	מזם	Masc	Sing	מַזָּם	מַזָּם	1
2	פודקאסטים	פודקאסט	Masc	Plur	פּוֹדְקָאסְטִים	פּוֹדְקָאסְט	180
9	יומיים	יום	Masc	Dual	יוֹמַיִים	יוֹם	402
67	שבוע	שבוע	Masc	Sing	שָׁבוּעַ	שָׁבוּעַ	113
5	שגרה	שגרה	Fem	Sing	שִׁגְרָה	שִׁגְרָה	7
11	תרגול	תרגול	Masc	Sing	תִּרְגּוּל	תִּרְגּוּל	11
8	השפה	השפה	Fem	Sing	הַשָּׂפָה	הַשָּׂפָה	8
106	דיוק	דיוק	Masc	Sing	דִּיּוּק	דִּיּוּק	106
18	רוב	רוב	Masc	Sing	רוֹב	רוֹב	18
1	ליבול	ליבול	Masc	Sing	לִיבּוֹל	לִיבּוֹל	1
13	מטר	מטר	Masc	Sing	מֶטֶר	מֶטֶר	20
188	דרך	דרך	Fem	Sing	דֶּרֶךְ	דֶּרֶךְ	215
193	עבודה	עבודה	Fem	Sing	עֲבוֹדָה	עֲבוֹדָה	214
371	זמן	זמן	Masc	Sing	זְמַן	זְמַן	385
8	אימון	אימון	Masc	Sing	אִימוּן	אִימוּן	9
38	חדר	חדר	Masc	Sing	חֶדֶר	חֶדֶר	42
6	כושר	כושר	Masc	Sing	כּוֹשֶׁר	כּוֹשֶׁר	6
14	אשת	איש	Fem	Sing	אֵשֶׁת	אִישׁ	730
3	הריון	הריון	Masc	Sing	הֵרָיוֹן	הֵרָיוֹן	3
29	כפר	כפר	Masc	Sing	כְּפָר	כְּפָר	29
1	עיסוקים	עיסוק	Masc	Plur	עִיסּוּקִים	עִיסּוּק	4
2	הוראה	הוראה	Fem	Sing	הוֹרָאָה	הוֹרָאָה	5
59	טלפון	טלפון	Masc	Sing	טֵלֵפוֹן	טֵלֵפוֹן	70
3	ידיד	ידיד	Masc	Sing	יָדִיד	יָדִיד	3
47	שיחה	שיחה	Fem	Sing	שִִׂיחָה	שִִׂיחָה	68
12	שער	שער	Masc	Sing	שַּׁעָר	שַּׁעָר	12
2	ענייני	עניין	Masc	Plur	עִנְיְינִי	עִנְיָין	123
272	בית	בית	Masc	Sing	בַּיִת	בַּיִת	319
106	ספר	ספר	Masc	Sing	סֵפֶר	סֵפֶר	112
88	ראש	ראש	Masc	Sing	רֹאשׁ	רֹאשׁ	96
1	תירוצים	תירוץ	Masc	Plur	תֵּיְרוּצִים	תֵּירוּץ	5
41	מורים	מורה	Masc	Plur	מוֹרִים	מוֹרֶה	86
24	צורך	צורך	Masc	Sing	צוֹרֶךְ	צוֹרֶךְ	30
1	עיסוקיי	עיסוקי	Masc	Plur	עִיסּוּקַיי	עִיסּוּקִי	1
1	אויה	אויה	Fem	Sing	אוֹיָה	אוֹיָה	1
5	חששות	חשש	Fem	Plur	חֲשָׁשׁוֹת	חֲשָׁשׁ	10
2	דוברי	דובר	Masc	Plur	דּוֹבְרֵי	דּוֹבֵּר	7
1	פת	פת	Fem	Sing	פַּת	פַּת	1
10	אם	אם	Fem	Sing	אִם	אִם	27
3	מרמה	מרמה	Fem	Sing	מִרְמָה	מִרְמָה	4
5	משפטים	משפט	Masc	Plur	מִשְׁפָּטִים	מִשְׁפָּט	44
2	טלנובלות	טלנובלות	Fem	Plur	טֶלְנוֹבְלוֹת	טֶלְנוֹבְלוֹת	2
2	מכסה	מכסה	Masc	Sing	מְכַסָּה	מְכַסָּה	2
1	דפל	דפל	Masc	Sing	דֶּפֶל	דֶּפֶל	1
31	רמה	רמה	Fem	Sing	רָמָה	רָמָה	53
16	שפת	שפה	Fem	Sing	שֶׂפֶת	שָׂפָה	106
7	מקור	מקור	Masc	Sing	מָּקוֹר	מָּקוֹר	10
36	קושי	קושי	Masc	Sing	קוֹשִׁי	קוֹשִׁי	49
622	אנשים	איש	Masc	Plur	אֲנָשִׁים	אִישׁ	730
2	פאודה	פאודה	Fem	Sing	פָּאוּדָה	פָּאוּדָה	2
14	סדרה	סדרה	Fem	Sing	סִּדְרָה	סִּדְרָה	35
23	סיכוי	סיכוי	Masc	Sing	סִּיכּוּי	סִּיכּוּי	27
99	מישהו	מישהו	Masc	Sing	מִישֶׁהוּ	מִישֶׁהוּ	115
1	פלנטה	פלנטה	Fem	Sing	פְּלַנְטָה	פְּלַנְטָה	1
25	תשובה	תשובה	Fem	Sing	תְּשׁוּבָה	תְּשׁוּבָה	33
19	מושג	מושג	Masc	Sing	מוּשָּׂג	מוּשָּׂג	20
37	מהלך	מהלך	Masc	Sing	מַהֲלָךְ	מַהֲלָךְ	37
55	פרקים	פרק	Masc	Plur	פְּרָקִים	פֶּרֶק	306
16	מאכלים	מאכל	Masc	Plur	מַאֲכָלִים	מַאֲכָל	23
2	מנהגים	מנהג	Masc	Plur	מִנְהָגִים	מִנְהָג	5
17	חגים	חג	Masc	Plur	חַגִּים	חַג	83
101	מקומות	מקום	Masc	Plur	מְקוֹמוֹת	מָקוֹם	370
4	תרבויות	תרבות	Fem	Plur	תַּרְבּוּיוֹת	תַּרְבּוּת	29
1	טרנדים	טרנדי	Masc	Plur	טְּרֶנְדִּים	טְרֶנְדִּי	1
55	חדשות	חדשות	Fem	Plur	חֲדָשׁוֹת	חֲדָשׁוֹת	55
130	ארץ	ארץ	Fem	Sing	אֶרֶץ	אֶרֶץ	138
201	עולם	עולם	Masc	Sing	עוֹלָם	עוֹלָם	206
2	פעלים	פעל	Masc	Plur	פְּעָלִים	פָּעַל	3
10	זמנים	זמן	Masc	Plur	זְמַנִים	זְמַן	385
35	ביטויים	ביטוי	Masc	Plur	בִּיטּוּיִים	בִּיטּוּי	107
169	מון	מון	Masc	Sing	מוֹן	מוֹן	169
22	נושאים	נושא	Masc	Plur	נוֹשְׂאִים	נוֹשֵׂא	81
24	מטרה	מטרה	Fem	Sing	מַטָּרָה	מַטָּרָה	31
93	צורה	צורה	Fem	Sing	צוּרָה	צוּרָה	96
4	עניינת	עניינה	Fem	Sing	עִנְיֶינֶת	עִנְיָינָהּ	4
26	כוונה	כוונה	Fem	Sing	כַּוֹוָנָה	כַּוֹוָנָה	26
31	חזרה	חזרה	Fem	Sing	חָזְרָה	חָזְרָה	34
3	כלב	כלב	Masc	Sing	כֶּלֶב	כֶּלֶב	13
84	טיול	טיול	Masc	Sing	טִיּוּל	טִיּוּל	100
12	שכונה	שכונה	Fem	Sing	שְׁכוּנָה	שְׁכוּנָה	17
1	התוכן	התוכן	Masc	Sing	הַתּוֹכֶן	הַתּוֹכֶן	1
3	לוואי	לוואי	Masc	Sing	לְוַואי	לְוַואי	3
11	חבר'ה	חבר'ה	Masc	Plur	חֶבְרֶ'ה	חֶבְרֶ'ה	11
10	עתיד	עתיד	Masc	Sing	עָתִיד	עָתִיד	10
21	זכות	זכות	Fem	Sing	זְכוּת	זְכוּת	27
6	עברית	עברית	Fem	Sing	עִבְרִית	עִבְרִית	6
28	עמוד	עמוד	Masc	Sing	עַמּוּד	עַמּוּד	30
39	פייסבוק	פייסבוק	Masc	Sing	פֵּיְסְבּוּק	פֵּיְסְבּוּק	39
30	תרגילים	תרגיל	Masc	Plur	תַּרְגִּילִים	תַּרְגִּיל	30
251	פרק	פרק	Masc	Sing	פֶּרֶק	פֶּרֶק	306
2	אדג	אדג	Masc	Sing	אֶדֶג	אֶדֶג	2
22	פרס	פרס	Masc	Sing	פְּרָס	פְּרָס	32
8	תשובות	תשובה	Fem	Plur	תְּשׁוּבוֹת	תְּשׁוּבָה	33
60	קשר	קשר	Masc	Sing	קֶשֶׁר	קֶשֶׁר	71
2	אודו	אודו	Masc	Sing	אוֹדוֹ	אוֹדוֹ	2
11	יתרון	יתרון	Masc	Sing	יִתְרוֹן	יִתְרוֹן	14
18	קצב	קצב	Masc	Sing	קֶצֶב	קֶצֶב	18
19	מידה	מידה	Fem	Sing	מִידָּה	מִידָּה	20
28	פרויקט	פרויקט	Masc	Sing	פְּרוֹיֶקְט	פְּרוֹיֶקְט	38
14	אור	אור	Masc	Sing	אוֹר	אוֹר	18
1	גידים	גיד	Masc	Plur	גִּידִים	גִּיד	1
20	המשך	המשך	Masc	Sing	הֶמְשֵּׁךְ	הֶמְשֵּׁךְ	20
2	פתעות	פתעה	Fem	Plur	פְּתָעוֹת	פָּתְעָה	3
2	עגלה	עגלה	Fem	Sing	עֲגָלָה	עֲגָלָה	6
4	סוסים	סוסי	Masc	Plur	סוּסִים	סוּסִי	4
1	גשר	גשר	Masc	Sing	גֶּשֶׁר	גֶּשֶׁר	2
60	לב	לב	Masc	Sing	לֵב	לֵב	60
15	רגעים	רגע	Masc	Plur	רְגָּעִים	רֶגַע	209
304	דבר	דבר	Masc	Sing	דָּבָר	דָּבָר	551
4	זמנ	זמן	Masc	Sing	זְמַן	זְמַן	385
1	כובץ	כובץ	Masc	Sing	כּוֹבֶץ	כּוֹבֶץ	1
2	קישור	קישור	Masc	Sing	קִישּׁוּר	קִישּׁוּר	2
6	פשוט	פשוט	Masc	Sing	פָּשׁוּט	פָּשׁוּט	6
221	מוזיקה	מוזיקה	Fem	Sing	מוּזִיקָה	מוּזִיקָה	222
9	רוכים	רכה	Masc	Plur	רוּכִים	רַכָּה	11
98	פלאפל	פלאפל	Masc	Sing	פָּלָאפֶל	פָּלָאפֶל	98
77	עיר	עיר	Fem	Sing	עִיר	עִיר	92
6	ישוב	יישוב	Masc	Sing	יָשׁוּב	יִישּׁוּב	24
11	דוכן	דוכן	Masc	Sing	דּוּכָן	דּוּכָן	14
4	הילדות	הילדות	Fem	Plur	הַיַּלְדוּת	הַיַּלְדוּת	4
2	נוסטלגיה	נוסטלגיה	Fem	Sing	נוֹסְטַלְגְּיָה	נוֹסְטַלְגְּיָה	2
22	תמונות	תמונה	Fem	Plur	תְּמוּנוֹת	תְּמוּנָה	39
5	קירות	קיר	Masc	Plur	קִירוֹת	קִיר	10
35	אווירה	אווירה	Fem	Sing	אֲוִוירָה	אֲוִוירָה	37
7	הליכה	הליכה	Fem	Sing	הֲלִיכָה	הֲלִיכָה	7
14	רגל	רגל	Fem	Sing	רֶגֶל	רֶגֶל	25
44	אוטובוס	אוטובוס	Masc	Sing	אוֹטוֹבּוּס	אוֹטוֹבּוּס	55
7	חלון	חלון	Masc	Sing	חַלּוֹן	חַלּוֹן	10
5	מוכר	מוכר	Masc	Sing	מוּכָּר	מוּכָּר	6
21	חיוך	חיוך	Masc	Sing	חִיּוּךְ	חִיּוּךְ	21
16	כדור	כדור	Masc	Sing	כַּדוּר	כַּדוּר	25
194	רגע	רגע	Masc	Sing	רֶגַע	רֶגַע	209
10	שמן	שמן	Masc	Sing	שֶׁמֶן	שֶׁמֶן	13
3	בילוי	בילוי	Masc	Sing	בִּילּוּי	בִּילּוּי	4
90	משפחה	משפחה	Fem	Sing	מִשְׁפָּחָה	מִשְׁפָּחָה	138
75	הורים	הורה	Masc	Plur	הוֹרִים	הוֹרָה	79
21	מנה	מנה	Fem	Sing	מָנָה	מָנָה	31
216	ילדים	ילד	Masc	Plur	יְלָדִים	יֶלֶד	283
35	עובדים	עובד	Masc	Plur	עוֹבְדִים	עוֹבֵּד	46
27	לקוחות	לקוח	Masc	Plur	לָקוֹחוֹת	לָקוֹחַ	33
1	קצות	קצות	Fem	Plur	קָצוֹת	קָצוֹת	1
2	אצבעות	אצבע	Fem	Plur	אֶצְבָּעוֹת	אֶצְבַּע	3
1	ערימת	ערימה	Fem	Sing	עֲרֵימַת	עֲרֵימָה	1
6	סלטים	סלט	Masc	Plur	סָלָטִים	סָּלָט	8
1	פק	פק	Masc	Sing	פָּק	פָּק	1
66	תקופה	תקופה	Fem	Sing	תְּקוּפָה	תְּקוּפָה	88
11	נערים	נער	Masc	Plur	נְעָרִים	נַעַר	17
3	פיטה	פיטה	Fem	Sing	פִּיטָה	פִּיטָה	3
130	כסף	כסף	Masc	Sing	כֶּסֶף	כֶּסֶף	133
5	סרט	סרט	Masc	Sing	סֶּרֶט	סֶּרֶט	15
4	קולנוע	קולנוע	Masc	Sing	קוֹלְנוֹעַ	קוֹלְנוֹעַ	4
21	צער	צער	Masc	Sing	צַּעַר	צַּעַר	21
5	זכרונות	זכרון	Masc	Plur	זִכְרוֹנוֹת	זִכָּרוֹן	6
171	קיבוץ	קיבוץ	Masc	Sing	קִיבּוּץ	קִיבּוּץ	226
37	דרום	דרום	Masc	Sing	דָּרוֹם	דָּרוֹם	37
2	רבע	רבע	Masc	Sing	רֶבַע	רֶבַע	2
47	שעה	שעה	Fem	Sing	שָׁעָה	שָׁעָה	111
18	נסיעה	נסיעה	Fem	Sing	נְסִיעָה	נְסִיעָה	22
3	פלאפלים	פלאפלי	Masc	Plur	פָּלָאפֶלִים	פָּלַאפְלִי	3
88	אוכל	אוכל	Masc	Sing	אוֹכֶל	אוֹכֶל	88
16	ימי	יום	Masc	Plur	יְמֵי	יוֹם	402
