formOccurrences	form	lemma	HebBinyan	VerbForm	Person	Number	Gender	form_niqqud	lemma_niqqud	lemmaCount
43	מאזינים	מאזין	PIEL	Part	3	Plur	Masc	מַאֲזִינִים	מַאֲזִין	43
1	מציג	הציג	HIFIL	Part	3	Sing	Masc	מַצִּיג	הִצִּיג	9
27	לפשוט	פשט	PAAL	Inf				לִפְשׁוֹט	פָּשְַׁט	27
9	חי	חי	PAAL	Part	3	Sing	Masc	חַי	חַי	62
1	אתחיל	התחיל	HIFIL		1	Sing	Masc	אַתְחִיל	הִתְחִיל	351
4	מתרגש	התרגש	HITPAEL	Part	1,2,3	Sing	Masc	מִתְרַגֵּשׁ	הִתְרַגֵּשׁ	18
1	מקליט	הקליט	PIEL	Part	1	Sing	Masc	מַקְלִיט	הַקְּלִיט	9
99	עושה	עשה	PAAL	Part	3	Sing	Masc	עוֹשֶׂה	עָשָׂה	760
208	אין	אין						אֵין	אֵין	208
13	עומד	עמד	PAAL	Part	1	Sing	Masc	עוֹמֵד	עָמַד	86
3	מקשיב	הקשיב	HIFIL	Part	3	Sing	Masc	מַקְשִׁיב	הִקְשִׁיב	50
11	עומדים	עמד	PAAL	Part	3	Plur	Masc	עוֹמְדִים	עָמַד	86
3	תקבלו	קיבל	HIFIL		1	Plur	Masc	תְּקַבְּלוּ	קִיבֵּל	245
3	מיועד	יועד	PUAL	Part	3	Sing	Masc	מְיוֹעָד	יוֹעֵד	5
16	הגעתי	הגיע	HIFIL		1	Sing	Masc	הִגַּעְתִּי	הִגִּיעַ	464
29	התחלתי	התחיל	HIFIL		1	Sing	Masc	הִתְחַלְתִּי	הִתְחִיל	351
96	ללמוד	למד	PAAL	Inf				לִלְמוֹד	לָמַד	143
5	חיפשתי	חיפש	PIEL		1	Sing	Masc	חִיפַּשְׂתִּי	חִיפֵּשׂ	60
11	לשפר	שיפר	PIEL	Inf				לְשְַׁפֵּר	שִׁיפָּר	15
2	הורדתי	הוריד	HIFIL		1	Sing	Masc	הוֹרַדְתִּי	הוֹרִיד	44
3	לקחתי	לקח	PAAL		1	Sing	Masc	לָקַחְתִי	לֶקַח	156
77	לראות	ראה	PAAL	Inf				לִרְאוֹת	רָאָה	268
3	השתמשתי	השתמש	HITPAEL		1	Sing	Masc	הִשְׁתַּמַּשְׁתִּי	הִשְׁתַמֵּשׁ	84
8	רגשתי	רגש	PAAL		1	Sing	Masc	רָגַשְׁתִּי	רֶגֶשׁ	8
2	חסר	חסר	PAAL		3	Sing	Masc	חָסֵר	חָסֵר	5
1	מציתי	מצא	PIEL		1	Plur	Masc	מַצִּיתִי	מָצָא	125
2	נעשו	נעשה	NIFAL		3	Plur	Masc	נַעֲשׂוּ	נַעֲשָׂה	23
21	מצליח	הצליח	HIFIL	Part	1,2,3	Sing	Masc	מַצְלִיחַ	הִצְלִיחַ	128
1	לקלוט	קלט	PAAL	Inf				לִקְלוֹט	קֶלֶט	11
8	מצאתי	מצא	PAAL		1	Sing	Masc	מָצָאתִי	מָצָא	125
2	בורח	ברח	PAAL	Part	3	Sing	Masc	בּוֹרֵחַ	בָּרַח	17
